,오사카,이름,구글 맵 링크,대표메뉴,주소,특이사항
관광지,다낭,린응사,https://maps.app.goo.gl/iKSx45H7me45M6qw7,,"472H+435 Vườn Lâm Tỳ Ni, Hoàng Sa, Thọ Quang, Sơn Trà, Đà Nẵng, Vietnam",
관광지,다낭,다낭 대성당,https://maps.app.goo.gl/tbkiqbCRcDEx1N8k7,,"156 Trần Phú, Hải Châu 1, Hải Châu, Đà Nẵng 550000 베트남",
기타,다낭,ROHA SPA,https://maps.app.goo.gl/tPQTTbucaYqcTRiz8,,"58 Nguyễn Thái Học, Hải Châu 1, Hải Châu, Đà Nẵng 550000, Vietnam",
기타,다낭,Moringa Spa & Nail,https://maps.app.goo.gl/Gv4spsg8mU87doPQ7,,"44 Lê Mạnh Trinh, Phước Mỹ, Sơn Trà, Đà Nẵng 550000, Vietnam",
기타,다낭,Cộng Spa Đà Nẵng,https://maps.app.goo.gl/rSeUiTfrp7LvniNB7,,"80 Trần Phú, Hải Châu 1, Hải Châu, Đà Nẵng 550000, Vietnam",
기념품,다낭,체리쉬 망고젤리,,,,
기념품,다낭,비폰 포보 쌀국수,,,,
맛집,뉴욕,Joe's Pizza Broadway,https://maps.app.goo.gl/C48KjYBLoHsP9kqw7,화이트 피자,"1435 Broadway, New York, NY 10018 미국",
맛집,뉴욕,Five Guys,https://maps.app.goo.gl/VvbAWddgSUJPuMJr5,햄버거,"253 W 42nd St, New York, NY 10036 미국",
맛집,뉴욕,Pick A Bagel,https://maps.app.goo.gl/x83V8t4sMZtXT5oGA,에브리띵 베이글,"891 8th Ave, New York, NY 10019 미국",
맛집,뉴욕,Junior's Restaurant & Bakery,https://maps.app.goo.gl/CygoY1QucAZR5faSA,치즈케이크,"1515 Broadway, W 45th St, New York, NY 10036 미국",
관광지,뉴욕,센트럴 파크,https://maps.app.goo.gl/HAJET4X3MvnqVFco8,,미국 New York,
관광지,뉴욕,엠파이어 스테이트 빌딩,https://maps.app.goo.gl/tnt1PhWM7Rt9T1dN7,,"20 W 34th St., New York, NY 10001 미국",
관광지,뉴욕,블루 노트 재즈 클럽,https://maps.app.goo.gl/LSaRaWapH3ufn5YW9,,"131 W 3rd St, New York, NY 10012 미국",
관광지,뉴욕,자유의 여신상,https://maps.app.goo.gl/XcSYNH5njAFqxhL97,,미국 10004 New York,
관광지,뉴욕,Times Square,https://maps.app.goo.gl/nMnTU655spW5Kr6h7,,미국 10036 뉴욕,
기념품,뉴욕,디즈니 스토어,https://maps.app.goo.gl/skVvSxq4iTttLxcf6,,"1540 Broadway, New York, NY 10036 미국",
기념품,뉴욕,엠엔엠 월드,https://maps.app.goo.gl/7M26bxLWCzfhPe3c7,,"1600 Broadway, New York, NY 10019 미국",
맛집,방콕,RONGROS,https://maps.app.goo.gl/CMGt1yvifg3NQspZ8,계란새우볶음밥,"392/16 Maha Rat Rd, Phra Borom Maha Ratchawang, Phra Nakhon, Bangkok 10200, Thailand",
맛집,방콕,Raan Jay Fai,https://maps.app.goo.gl/LEM8gFt3A6bgA5DUA,게살 오믈렛,"392/16 Maha Rat Rd, Phra Borom Maha Ratchawang, Phra Nakhon, Bangkok 10200, Thailand",
맛집,방콕,Jeh O Chula,https://maps.app.goo.gl/XZrfCDx9FYcnxuYZA,마마똠얌 루엄밋,"113 ซ. จรัสเมือง Rong Muang, Pathum Wan, Bangkok 10330, Thailand",
맛집,방콕,Thipsamai Padthai Pratu Phi,https://maps.app.goo.gl/Ha8mHNdvbQaxtv8o8,팟타이,"313, 315 Maha Chai Rd, Samran Rat, Phra Nakhon, Bangkok 10200, Thailand",
관광지,방콕,아룬 사원(왓 아룬),https://maps.app.goo.gl/y8gn5wxh1rv1mVBW7,,"158 Thanon Wang Doem, Wat Arun, Bangkok Yai, Bangkok 10600 태국",
관광지,방콕,MahaNakhon,https://maps.app.goo.gl/ErxXwMrG3wDq2SVr5,,"Thanon Naradhiwat Rajanagarindra, Si Lom, Khet Bang Rak, Krung Thep Maha Nakhon 10500 태국",
관광지,방콕,방콕 왕궁,https://maps.app.goo.gl/h8eiGyb9tc2EeFtF8,,"Phra Borom Maha Ratchawang, Phra Nakhon, Bangkok 10200 태국",
관광지,방콕,왓 프라깨우,https://maps.app.goo.gl/qEtpuiLKaakhErJq5,,"QF2V+M34, Na Phra Lan Rd, Phra Borom Maha Ratchawang, Phra Nakhon, Bangkok 10200 태국",
관광지,방콕,왓 포,https://maps.app.goo.gl/JN5EA69Lya5at9AG9,,"2 Sanam Chai Rd, Phra Borom Maha Ratchawang, Phra Nakhon, Bangkok 10200 태국",
기념품,방콕,왕실꿀,,,,
기념품,방콕,벤또,,,,
기념품,방콕,김스낵,,,,
